Test Case ID,User Story ID,Test Description,Pre-Conditions,Test Data,Test Steps,Expected Result,Test Type,Automation Status,Executed By,Comments / Notes
TC_009,DOC-Search,Search documents by criteria,"User logged in, Documents exist",Search criteria,"1. Navigate to Document module
2. Enter search criteria in search field
3. Apply search filters if available
4. Verify search results accuracy
5. Clear search and verify reset functionality","Search returns accurate results matching criteria","Functional, Positive",Automated,QA,Document search functionality
TC_024,ADMIN-UserCreate,Create new user with valid data,"User logged in, Admin access",Valid user data,"1. Navigate to Admin section and access User Management
2. Click Create User and fill Login ID and Name
3. Enter Email Address and Employee Number
4. Select User Type and Authentication Type
5. Save user and verify creation success","User created successfully and appears in user list","Functional, Admin",Automated,QA,User creation functionality
TC_025,ADMIN-UserCreateNegative,Create user with missing fields,"User logged in, Admin access",Incomplete user data,"1. Navigate to Admin section and open User Creation
2. Leave mandatory fields empty (Login ID, Name, Email)
3. Skip required User Type selection
4. Attempt to create user
5. Verify validation messages for required fields","Validation messages appear and user creation prevented","Functional, Negative",Automated,QA,User creation validation
TC_026,ADMIN-RoleCreate,Create new role with permissions,"User logged in, Admin access",Valid role data,"1. Navigate to Admin section and access Role Management
2. Click Create Role and fill role name and description
3. Set access level and account type
4. Configure role permissions and hierarchy
5. Save role and verify creation","Role created successfully with proper permissions","Functional, Admin",Automated,QA,Role creation functionality
TC_027,ADMIN-DeptCreate,Create new department,"User logged in, Admin access",Valid department data,"1. Navigate to Admin section and access Department Management
2. Click Create Department and fill name and code
3. Add department description and business units
4. Set department properties and manager
5. Save department and verify creation","Department created successfully and available for assignments","Functional, Admin",Automated,QA,Department creation
TC_028,ADMIN-SiteCreate,Create new site with valid data,"User logged in, Admin access",Valid site data,"1. Navigate to Admin section and access Site Management
2. Click Create Site and fill site name and code
3. Add site description and location details
4. Set site properties and contact information
5. Save site and verify creation","Site created successfully and appears in site list","Functional, Admin",Automated,QA,Site creation functionality
TC_029,ADMIN-TagsManage,Create and manage tags,"User logged in, Admin access",Valid tag data,"1. Navigate to Admin section and access Tags Management
2. Create new tag with name and description
3. Set tag properties and hierarchy
4. Organize existing tags and update properties
5. Verify tag functionality across modules","Tags created and managed successfully with proper organization","Functional, Admin",Automated,QA,Tag management
TC_030,ADMIN-UserGroupCreate,Create and manage user groups,"User logged in, Admin access",Valid group data,"1. Navigate to Admin section and access User Group Management
2. Create new group with name and description
3. Add users to group and set permissions
4. Configure group hierarchy and properties
5. Verify group functionality and member access","User group created successfully with proper member assignments","Functional, Admin",Automated,QA,User group management

CONFIGURATION MODULE TEST CASES
TC_031,CONFIG-WorkflowType,Create workflow type configuration,"User logged in, Config access",Valid workflow type data,"1. Navigate to Config section and access Workflow Types
2. Create new workflow type with name and description
3. Set prefix code and SLA configuration
4. Assign roles, departments, and lifecycle states
5. Save configuration and verify creation","Workflow type created successfully and available for use","Functional, Config",Automated,QA,Workflow type configuration
TC_032,CONFIG-DocumentType,Create document type configuration,"User logged in, Config access",Valid document type data,"1. Navigate to Config section and access Document Types
2. Create new document type with name and prefix
3. Set numbering system and format settings
4. Configure metadata fields and permissions
5. Save configuration and verify availability","Document type created successfully and appears in dropdown lists","Functional, Config",Automated,QA,Document type configuration
TC_033,CONFIG-LifecycleState,Create lifecycle state configuration,"User logged in, Config access",Valid lifecycle data,"1. Navigate to Config section and access Lifecycle States
2. Create new state with name and description
3. Set state properties and transition rules
4. Configure permissions and notification settings
5. Save state and verify integration","Lifecycle state created successfully and available for workflows","Functional, Config",Automated,QA,Lifecycle state configuration
TC_034,CONFIG-SystemDataField,Create system data field type,"User logged in, Config access",Valid field type data,"1. Navigate to Config section and access System Data Field Types
2. Create new field type with name and data type
3. Configure field properties and validation rules
4. Set field permissions and usage scope
5. Save field type and verify availability","System data field type created and available in form builders","Functional, Config",Automated,QA,System data field configuration
TC_035,CONFIG-Checklist,Create checklist with checkpoints,"User logged in, Config access",Valid checklist data,"1. Navigate to Config section and access Checklist Management
2. Create new checklist with name and description
3. Add multiple checkpoints with properties
4. Configure checkpoint dependencies and validation
5. Save checklist and verify functionality","Checklist created successfully with all checkpoints configured","Functional, Config",Automated,QA,Checklist configuration
TC_036,CONFIG-EmailTemplate,Create email template configuration,"User logged in, Config access",Valid email template data,"1. Navigate to Config section and access Email Templates
2. Create new template with name and subject
3. Design email content with dynamic variables
4. Configure template settings and permissions
5. Test template and verify functionality","Email template created successfully and available for use","Functional, Config",Automated,QA,Email template configuration

REPOSITORY MODULE TEST CASES
TC_037,REPO-Navigate,Navigate to repository interface,User logged in,N/A,"1. Login and navigate to Repository module
2. Verify Create Repository section displays
3. Check Tree View and Grid View options
4. Verify repository list and file management areas
5. Test repository navigation functionality","Repository interface displays correctly with all management options","Functional, UI",Automated,QA,Repository navigation
TC_038,REPO-CreateRepository,Create new repository,"User logged in, Repository access",Valid repository data,"1. Navigate to Repository module
2. Click Create Repository button
3. Fill in repository name and description
4. Set repository properties and permissions
5. Create repository and verify success","Repository created successfully and appears in repository list","Functional, Positive",Automated,QA,Repository creation
TC_039,REPO-FileUpload,Upload files to repository,"User logged in, Repository exists",Valid files for upload,"1. Navigate to Repository module and select repository
2. Click Upload Files button
3. Select multiple files from local system
4. Configure file properties and metadata
5. Complete upload and verify files appear","Files uploaded successfully and accessible in repository","Functional, Integration",Automated,QA,Repository file upload
TC_040,REPO-ManageFiles,Manage files in repository,"User logged in, Files exist in repository",Repository with files,"1. Navigate to Repository and select repository with files
2. Test file operations (rename, move, copy)
3. Organize files into folders and categories
4. Update file metadata and properties
5. Verify file management operations work correctly","File management operations work correctly with proper organization","Functional, Positive",Automated,QA,Repository file management
TC_041,REPO-Search,Search files in repository,"User logged in, Repository with files",File search criteria,"1. Navigate to Repository module
2. Enter search criteria for files
3. Apply file type and date filters
4. Verify search results accuracy
5. Test advanced search functionality","Repository search returns accurate file results","Functional, Positive",Automated,QA,Repository search functionality

REPORTS MODULE TEST CASES
TC_042,REPORTS-Navigate,Navigate to reports interface,User logged in,N/A,"1. Login and navigate to Reports module
2. Verify Reports List tab displays
3. Check New Report tab availability
4. Verify report categories and filters
5. Test reports navigation functionality","Reports module interface displays with proper navigation options","Functional, UI",Automated,QA,Reports navigation
TC_043,REPORTS-Generate,Generate report with criteria,"User logged in, Reports access",Report criteria data,"1. Navigate to Reports module
2. Select report type and parameters
3. Configure date range and filters
4. Generate report and verify completion
5. Review report content and accuracy","Report generated successfully with accurate data","Functional, Positive",Automated,QA,Report generation
TC_044,REPORTS-Export,Export reports in different formats,"User logged in, Report generated",Generated report data,"1. Navigate to Reports module and generate report
2. Select export format (PDF, Excel, CSV)
3. Configure export settings and options
4. Export report and verify download
5. Verify exported file content and format","Report exported successfully in requested format","Functional, Integration",Automated,QA,Report export functionality
TC_045,REPORTS-Schedule,Schedule automated reports,"User logged in, Reports access",Scheduling parameters,"1. Navigate to Reports module
2. Create new scheduled report
3. Configure report parameters and frequency
4. Set delivery options and recipients
5. Save schedule and verify activation","Scheduled report created successfully and will run automatically","Functional, Integration",Automated,QA,Report scheduling
TC_046,REPORTS-Filter,Filter and search reports,"User logged in, Reports exist",Filter criteria,"1. Navigate to Reports module
2. Apply various report filters by type and date
3. Search reports by name or description
4. Verify filtered results accuracy
5. Test filter combinations and reset","Report filtering and search returns accurate results","Functional, Positive",Automated,QA,Reports filtering

PRINT TEMPLATES MODULE TEST CASES
TC_047,PRINT-Navigate,Navigate to print templates interface,User logged in,N/A,"1. Login and navigate to Print Templates module
2. Verify Print Templates List tab displays
3. Check New Print Templates tab availability
4. Verify template grid and action options
5. Test print templates navigation","Print templates interface displays correctly with all options","Functional, UI",Automated,QA,Print templates navigation
TC_048,PRINT-CreateTemplate,Create new print template,"User logged in, Print Templates access",Valid template data,"1. Navigate to Print Templates module
2. Click New Print Template button
3. Design template layout and format
4. Configure template variables and fields
5. Save template and verify creation","Print template created successfully and available for use","Functional, Positive",Automated,QA,Print template creation
TC_049,PRINT-EditTemplate,Edit existing print template,"User logged in, Template exists",Template ID and new data,"1. Navigate to Print Templates and locate template
2. Click Edit button to open template editor
3. Modify template design and fields
4. Update template properties and settings
5. Save changes and verify success","Print template updated successfully with changes applied","Functional, Positive",Automated,QA,Print template editing
TC_050,PRINT-TestTemplate,Test print template functionality,"User logged in, Template exists",Template and test data,"1. Navigate to Print Templates and select template
2. Click Test or Preview button
3. Provide test data for template variables
4. Generate preview and verify formatting
5. Test actual printing functionality","Print template works correctly with proper formatting","Functional, Integration",Automated,QA,Print template testing
TC_051,PRINT-ManageTemplates,Manage print template library,"User logged in, Templates exist",Multiple template data,"1. Navigate to Print Templates module
2. Organize templates by categories
3. Update template descriptions and metadata
4. Test template search and filtering
5. Verify template accessibility across modules","Print templates managed successfully with proper organization","Functional, Positive",Automated,QA,Print template management

AUDIT TRAIL MODULE TEST CASES
TC_052,AUDIT-Navigate,Navigate to audit trail interface,User logged in,N/A,"1. Login and navigate to System module
2. Access Audit Trail section
3. Verify audit trail interface loads
4. Check filter options and date ranges
5. Test audit trail navigation functionality","Audit trail interface displays correctly with all filter options","Functional, UI",Automated,QA,Audit trail navigation
TC_053,AUDIT-FilterByCategory,Filter audit trail by category,"User logged in, Audit data exists",Category filter data,"1. Navigate to Audit Trail section
2. Click Select Category Name dropdown
3. Choose specific category option
4. Apply category filter and verify results
5. Test multiple category combinations","Category filtering works correctly showing relevant audit entries","Functional, Positive",Automated,QA,Audit trail category filtering
TC_054,AUDIT-FilterByDate,Filter audit trail by date range,"User logged in, Audit data exists",Date range data,"1. Navigate to Audit Trail section
2. Set From Date and To Date ranges
3. Apply date filter and verify results
4. Test various date range combinations
5. Verify audit entries within specified dates","Date filtering shows accurate audit entries within specified range","Functional, Positive",Automated,QA,Audit trail date filtering
TC_055,AUDIT-FilterByUser,Filter audit trail by user actions,"User logged in, Audit data exists",User filter data,"1. Navigate to Audit Trail section
2. Select specific user from filter options
3. Apply user filter and verify results
4. Test filtering by multiple users
5. Verify audit entries for selected users","User filtering shows accurate audit entries for selected users","Functional, Positive",Automated,QA,Audit trail user filtering
TC_056,AUDIT-ViewDetails,View detailed audit entry information,"User logged in, Audit entries exist",Audit entry data,"1. Navigate to Audit Trail and locate audit entry
2. Click on audit entry to view details
3. Verify all audit information displays correctly
4. Check timestamp, user, action, and object details
5. Test audit entry navigation and display","Audit entry details display completely with accurate information","Functional, Positive",Automated,QA,Audit trail detail view
TC_057,AUDIT-ExportAudit,Export audit trail data,"User logged in, Audit data exists",Export criteria,"1. Navigate to Audit Trail section
2. Apply desired filters for export
3. Click Export or Download button
4. Select export format and options
5. Verify exported file content and accuracy","Audit trail exported successfully with accurate filtered data","Functional, Integration",Automated,QA,Audit trail export
TC_058,AUDIT-SearchAudit,Search audit trail entries,"User logged in, Audit data exists",Search criteria,"1. Navigate to Audit Trail section
2. Enter search criteria in search field
3. Apply search filters and execute search
4. Verify search results accuracy
5. Test various search patterns and terms","Audit trail search returns accurate results matching criteria","Functional, Positive",Automated,QA,Audit trail search
TC_059,AUDIT-MonitorChanges,Monitor system changes through audit,"User logged in, System access",Change monitoring data,"1. Navigate to Audit Trail section
2. Perform actions in other modules
3. Return to Audit Trail and verify logging
4. Check that all actions are properly recorded
5. Verify audit completeness and accuracy","System changes properly recorded in audit trail with complete information","Functional, Integration",Automated,QA,Audit trail monitoring

ADVANCED SEARCH MODULE TEST CASES
TC_060,ADV-Navigate,Navigate to advanced search interface,User logged in,N/A,"1. Login and navigate to Advanced Search module
2. Verify Search Type dropdown displays
3. Check Select Fields and Condition options
4. Verify search input fields and parameters
5. Test advanced search interface functionality","Advanced search interface displays with all search configuration options","Functional, UI",Automated,QA,Advanced search navigation
TC_061,ADV-SearchDocuments,Search documents using advanced criteria,"User logged in, Documents exist",Document search criteria,"1. Navigate to Advanced Search
2. Select Document from Search Type dropdown
3. Configure search fields and conditions
4. Enter specific search criteria
5. Execute search and verify results","Advanced document search returns accurate results based on criteria","Functional, Positive",Automated,QA,Advanced document search
TC_062,ADV-SearchExact,Search with exact match criteria,"User logged in, Known data exists",Exact search terms,"1. Navigate to Advanced Search
2. Configure exact match conditions
3. Enter precise search terms
4. Execute search and verify exact matches
5. Test exact match accuracy","Exact match search returns only precisely matching results","Functional, Positive",Automated,QA,Advanced exact search
TC_063,ADV-SearchPartial,Search with partial match criteria,"User logged in, Data exists",Partial search terms,"1. Navigate to Advanced Search
2. Configure partial match conditions
3. Enter partial search terms
4. Execute search and verify partial matches
5. Test partial match functionality","Partial match search returns all relevant results containing search terms","Functional, Positive",Automated,QA,Advanced partial search
TC_064,ADV-SearchMultipleCriteria,Search with multiple criteria,"User logged in, Data exists",Multiple search criteria,"1. Navigate to Advanced Search
2. Configure multiple search fields and conditions
3. Enter criteria for multiple fields
4. Execute complex search
5. Verify results match all criteria","Multiple criteria search returns accurate results matching all conditions","Functional, Positive",Automated,QA,Advanced multi-criteria search
TC_065,ADV-SearchInvalid,Search with invalid criteria,"User logged in, Advanced Search access",Invalid search data,"1. Navigate to Advanced Search
2. Enter invalid search criteria
3. Configure invalid conditions or parameters
4. Execute search with invalid data
5. Verify system handles invalid input gracefully","System handles invalid search criteria gracefully with appropriate messages","Functional, Negative",Automated,QA,Advanced search validation
TC_066,ADV-ExportSearchResults,Export advanced search results,"User logged in, Search results available",Search results data,"1. Navigate to Advanced Search and execute search
2. Verify search results display correctly
3. Click Export or Download button
4. Select export format and options
5. Verify exported file content matches results","Advanced search results exported successfully with accurate data","Functional, Integration",Automated,QA,Advanced search export
TC_067,ADV-SaveSearchCriteria,Save and reuse search criteria,"User logged in, Advanced Search access",Search criteria data,"1. Navigate to Advanced Search
2. Configure complex search criteria
3. Save search criteria with descriptive name
4. Reload saved search criteria
5. Verify saved criteria works correctly","Search criteria saved and reloaded successfully maintaining accuracy","Functional, Positive",Automated,QA,Advanced search save functionality

INTEGRATION AND CROSS-MODULE TEST CASES
TC_068,INT-WorkflowTemplate,Link workflow with template,"User logged in, Both modules active",Workflow and Template IDs,"1. Navigate to Template module and verify templates exist
2. Navigate to Workflow module and open workflow
3. Locate template linking section in workflow
4. Select and link appropriate template
5. Save workflow and verify template association","Workflow successfully linked with template and association displays correctly","Functional, Integration",Automated,QA,Cross-module workflow-template integration
TC_069,INT-DocumentWorkflow,Associate document with workflow,"User logged in, Document and Workflow exist",Document and Workflow data,"1. Create or locate existing document
2. Navigate to workflow association section
3. Select appropriate workflow for document
4. Configure workflow parameters and assignments
5. Verify document-workflow association works","Document successfully associated with workflow and workflow triggers correctly","Functional, Integration",Automated,QA,Document-workflow integration
TC_070,INT-RolePermissions,Test role-based access across modules,"User logged in, Multiple roles configured",Different user role data,"1. Login with admin user and verify full access
2. Login with editor role and verify limited access
3. Login with viewer role and verify read-only access
4. Test that restricted functions are properly disabled
5. Verify role permissions work consistently across modules","Role-based permissions work correctly across all modules with proper restrictions","Functional, Security",Automated,QA,Cross-module role validation
TC_071,INT-DataConsistency,Verify data consistency across modules,"User logged in, Multiple modules accessible",Cross-module data,"1. Create data in one module
2. Navigate to related modules and verify data appears
3. Update data in one module
4. Verify updates reflect in related modules
5. Test data integrity across module boundaries","Data consistency maintained across modules with real-time updates","Functional, Integration",Automated,QA,Cross-module data consistency
TC_072,INT-SearchAcrossModules,Test search functionality across modules,"User logged in, Data in multiple modules",Search criteria,"1. Navigate to global search functionality
2. Enter search criteria that spans multiple modules
3. Verify search results from all relevant modules
4. Test search result navigation to source modules
5. Verify search accuracy across module boundaries","Search functionality works correctly across all modules returning accurate results","Functional, Integration",Automated,QA,Cross-module search functionality
3,WF-PermissionEdit,Edit workflow as restricted user,User logged in with limited permissions,Existing workflow,"1. Login with a restricted user account (non-admin role)
2. Navigate to the Workflow module
3. Access the workflow list and locate an existing workflow
4. Click on the workflow to open it for viewing
5. Attempt to access edit functionality (Edit button/link)
6. If edit access is available, try to modify workflow fields
7. Attempt to save any changes made
8. Verify that system prevents unauthorized editing
9. Confirm that appropriate access denied message is displayed
10. Verify that workflow remains in read-only mode
11. Test that user can only view workflow details without modification rights","System prevents edit
 Access denied or read-only view","Functional, Security",Automated,Nandan,Role-based permission validation
4,WF-ConcurrentEdit,Simultaneous edit of same workflow,Two valid user sessions,Workflow ID shared,"1. Open two separate browser sessions or windows
2. Login with User A credentials in first session
3. Login with User B credentials in second session
4. In User A session: Navigate to Workflow module and open specific workflow for editing
5. In User B session: Navigate to same workflow and open for editing
6. In User A session: Make modifications to workflow fields (e.g., change description)
7. In User B session: Make different modifications to same workflow fields
8. In User B session: Save the changes first
9. In User A session: Attempt to save changes after User B has saved
10. Verify system handles concurrent editing appropriately
11. Check if conflict resolution mechanism is triggered
12. Confirm that data integrity is maintained and latest valid save is preserved","Conflict alert or overwrite prevention
 latest save maintained","Functional, Integration",Automated,Nandan,Check concurrent modification handling
5,WF-Delete,Delete an existing workflow,"User logged in
 Workflow exists",Workflow ID,"1. Login to the application with admin or authorized user credentials
2. Navigate to the Workflow module
3. Access the workflow list/grid view
4. Locate the workflow to be deleted using search or scrolling
5. Select the workflow by clicking on it or using checkbox
6. Click on 'Delete' button or action icon
7. Verify that confirmation dialog appears asking for delete confirmation
8. Read the confirmation message carefully
9. Click 'Confirm' or 'Yes' to proceed with deletion
10. Verify that success message appears confirming deletion
11. Check that workflow is removed from the list
12. Attempt to search for deleted workflow to confirm it no longer exists","Workflow removed from list
 confirmation message displayed","Functional, Regression",Automated,Nandan,Validate delete operation

7,WF-StatusTransition,Invalid workflow status transition,Workflow with defined statuses,N/A,"1. Login to the application with workflow management permissions
2. Navigate to a workflow that has defined status transitions (e.g., Draft Review Approved)
3. Open the workflow details or status management section
4. Identify the current status of the workflow
5. Attempt to change status by skipping intermediate steps (e.g., Draft directly to Approved)
6. Try to save the invalid status transition
7. Verify that system prevents the invalid transition
8. Check that appropriate error message is displayed explaining valid transitions
9. Test with valid status transition to confirm system works correctly
10. Verify workflow remains in original status after invalid attempt","System prevents invalid transition
 shows proper message","Functional, Regression",Automated,Nandan,Workflow transition logic validation
8,TPL-DuplicateCreate,Create template with same name ,Existing template present,Same template name,"1. Login to the application with template creation permissions
2. Navigate to the Template module
3. Verify an existing template is present (note its namey)
4. Click 'Create New Template' or similar button
5. Fill in the template creation form with exactly the same name as existing template
6. Complete other required fields with valid data
7. Attempt to save the duplicate template
8. Verify that system prevents duplicate creation
9. Check that appropriate error message is displayed indicating duplicate exists
10. Modify template name or category and verify successful creation","System prevents duplicate creation
 error shown","Functional, Negative",Automated,Nandan,Validate duplicate handling
9,TPL-MaxLength,Enter data exceeding field limit,Template creation screen open,Long text (100+ chars),"1. Login to the application and navigate to Template module
2. Open template creation form
3. Identify text fields with character limits (usually indicated in UI)
4. Prepare test data exceeding the maximum allowed characters (e.g., 150+ chars for 100 char limit)
5. Enter the long text string into the field
6. Attempt to continue typing beyond the limit
7. Try to save the form with excessive text
8. Verify that appropriate validation occurs (character limit enforcement or truncation)
9. Check that error message clearly indicates field length exceeded
10. Test with text at exactly the character limit to verify boundary conditions
11. Confirm successful save with valid length text",Validation: Field length exceeded or truncation,"Functional, Negative",Automated,Nandan,Field length validation
10,TPL-Delete,Delete existing template,Template exists,Template ID,"1. Login to the application with template management permissions
2. Navigate to the Template module
3. Access the template list or grid view
4. Locate the specific template to be deleted using search or browsing
5. Select the template by clicking on it or using selection checkbox
6. Click 'Delete' button or delete action icon
7. Verify that confirmation dialog appears with delete warning
8. Read the confirmation message and template details
9. Click 'Confirm' or 'Yes' to proceed with deletion
10. Verify that success message appears confirming template deletion
11. Check that template is removed from the list
12. Search for deleted template to confirm it no longer exists in the system","Template removed from list
 confirmation shown","Functional, Regression",Automated,Nandan,Delete operation validation

12,RBAC,Role-based access validation,Different user roles configured,N/A,"1. Identify different user roles in the system (admin, editor, viewer, etc.)
2. Login with admin user account
3. Navigate through all modules and verify full access to Create/Edit/Delete functions
4. Document all available features and buttons for admin user
5. Logout and login with editor role account
6. Navigate through same modules and verify limited access (create/edit but no delete)
7. Test that restricted functions are disabled or hidden for editor
8. Logout and login with viewer role account
9. Navigate through modules and verify read-only access
10. Confirm that Create/Edit/Delete buttons are disabled or not visible for viewer
11. Test access to admin-only sections and verify restrictions
12. Verify that each role can only access appropriate functionality per their permissions","Admin has full access
 others restricted per role","Functional, Security",Automated,Nandan,User privilege validation
13,INT-WF-TPL-Link,Link workflow with template,Both modules active,Workflow ID,"1. Login to the application with workflow and template management permissions
2. Navigate to Template module and verify existing templates are available
3. Navigate to Workflow module and open existing one
4. In workflow creation/edit form, locate template linking section
5. Click on 'Link Template' or 'Attach Template' option
6. Browse or search for available templates in the selection dialog
7. Select the desired template from the list
8. Confirm the template linking by clicking 'Link' or 'Attach'
9. Save the workflow with linked template
10. Verify that success message appears confirming the linkage
11. Navigate to workflow list and verify that linked template is displayed
12. Open workflow details and confirm template association is properly shown
13. Test that template content is accessible through the workflow",Workflow reflects correct linked template in list/detail,"Functional, Integration",Automated,Nandan,Cross-module linkage verification
14,WF-FilterSearch,Filter and search workflow records,"User logged in
 Workflows exist",Workflow name or ID,"1. Login to the application with workflow access permissions
2. Navigate to the Workflow module
3. Access the workflow list/grid view with existing workflows
4. Locate the filter/search functionality (usually at the top of the list)
5. Click on filter dropdown and select 'Name' as filter criteria
6. Enter specific workflow name or partial name in the search field
7. Click 'Search' or 'Apply Filter' button
8. Verify that filtered results display only matching workflows
9. From the filtered results, click 'View' link/button on a specific workflow
10. Verify that workflow editor iframe opens and displays the correct workflow
11. Check that all workflow details and design are properly loaded
12. Test clearing filter and verify that all workflows are displayed again
13. Test filtering with workflow ID and verify similar functionality","Filtered workflow displayed correctly
 View opens workflow editor iframe","Functional, Positive",Automated,Nandan,Workflow search and filter functionality
15,WF-CreatePositive,Create workflow with valid data,"User logged in
 Workflow page accessible",Valid workflow data,"1. Login to the application with workflow creation permissions
2. Navigate to the main dashboard and locate Workflow section
3. Click on 'Workflow' from the navigation menu
4. Select 'DMS Workflow' or relevant workflow module
5. Click 'Create Workflow' or 'New Workflow' button
6. Fill in all mandatory fields with valid data (Name, Description, Type, etc.)
7. Configure workflow steps by adding nodes and connections
8. Set up workflow properties such as SLA, priority, departments
9. Assign appropriate roles and permissions for the workflow
10. Configure any additional settings like notifications or approval chains
11. Review all entered information for accuracy
12. Click 'Save' or 'Create' button to save the workflow
13. Verify that success message appears confirming workflow creation
14. Check that new workflow appears in the workflow list
15. Open the created workflow to verify all data was saved correctly","Workflow created successfully
 Success message displayed","Functional, Positive",Automated,Nandan,Positive workflow creation scenario
16,DASH-Navigate,Navigate to Dashboard and verify interface,User logged in,N/A,"1. Login to the application with valid user credentials
2. Verify that user is automatically redirected to Dashboard or manually navigate to Dashboard
3. Wait for Dashboard page to fully load with all components
4. Verify that main Dashboard title/header is visible
5. Check that 'Overall Task Status' widget is displayed and contains data
6. Verify that 'Completed Task Status' widget is visible with appropriate metrics
7. Confirm that 'Task Types' widget is present and showing task type information
8. Check for any additional dashboard widgets or charts
9. Verify that all widgets load without errors and display relevant data
10. Test dashboard responsiveness by resizing browser window
11. Verify navigation menu is accessible from dashboard
12. Confirm that dashboard serves as proper landing page with quick access to key metrics","Dashboard loads with Overall Task Status
 Completed Task Status
 Task Types widgets visible","Functional, UI",Automated,Nandan,Dashboard interface verification
17,DASH-TaskStatus,Verify task status widgets,"User logged in
 Dashboard accessible",Task data available,"1. Login to the application and navigate to Dashboard
2. Locate the 'Overall Task Status' widget on the dashboard
3. Verify that the widget displays total task counts and status breakdown
4. Check that data in Overall Task Status is current and accurate
5. Navigate to 'Completed Task Status' widget
6. Verify that completed tasks are properly counted and displayed
7. Check completion percentages and progress indicators if available
8. Examine the 'Task Types' widget for proper categorization
9. Verify that all task types are listed with correct counts
10. Test widget interactivity by clicking on different sections
11. Verify that widgets refresh data appropriately
12. Compare widget data with actual task data in respective modules
13. Test widgets with different user permissions to ensure proper data filtering",All task widgets display correct data and are interactive,"Functional, Data",Automated,Nandan,Task status widget validation
18,DOC-Navigate,Navigate to Document module and verify list,User logged in,N/A,"1. Login to the application with document access permissions
2. Locate the Documents section in the main navigation menu
3. Click on 'Documents' or 'Document Management' link
4. Wait for the Document module to load completely
5. Verify that document list/grid interface is displayed
6. Check that document list shows columns like Name, Type, Created Date, Author, etc.
7. Verify that documents are properly listed with relevant information
8. Test sorting functionality by clicking on column headers
9. Check that pagination controls are present if there are many documents
10. Verify search functionality is available for finding specific documents
11. Test filter options if available (by type, date, author, etc.)
12. Confirm that navigation breadcrumbs show current location
13. Verify that action buttons (Create, Upload, etc.) are visible and accessible",Document list displays with proper navigation and interface elements,"Functional, UI",Automated,Nandan,Document module navigation
